City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,kapuskasing,49.4169,-82.4331,71.69,43,20,11.5,CA,1689980096
311,acapulco de juarez,16.8634,-99.8901,87.49,71,33,11.01,MX,1689980149
312,coracora,-15.0333,-73.7833,55.15,51,8,3.78,PE,1689980149
313,tamanrasset,22.785,5.5228,78.71,15,0,3.44,DZ,1689980150
314,sao francisco do sul,-26.2433,-48.6381,66.11,94,75,3.44,BR,1689980150
315,kirakira,-10.4544,161.9205,82.38,77,98,2.28,SB,1689980150
316,cooma,-36.2333,149.1333,37.62,70,7,1.05,AU,1689980066
317,yelizovo,53.1873,158.3805,66.34,72,0,4.47,RU,1689980150
318,kuytun,54.3419,101.5036,59.72,78,0,4.0,RU,1689980150
319,villamontes,-21.25,-63.5,80.69,39,0,12.08,BO,1689980151
320,mahenge,-8.6833,36.7167,62.89,61,60,2.15,TZ,1689980151
321,alamosa,37.4695,-105.87,89.58,14,0,9.22,US,1689980151
322,storrs,41.8084,-72.2495,73.69,83,32,6.17,US,1689980151
323,pascagoula,30.3658,-88.5561,97.52,62,0,8.05,US,1689980099
324,gorontalo,0.5412,123.0595,77.41,89,20,5.75,ID,1689980151
325,kavieng,-2.5744,150.7967,82.98,75,87,8.9,PG,1689980151
326,masterton,-40.9597,175.6575,50.88,94,100,5.99,NZ,1689980152
327,galesong,-5.3166,119.3661,73.42,81,9,9.84,ID,1689980152
328,tera,14.0078,0.7531,90.36,43,100,7.92,NE,1689980152
329,gufeng,26.9083,118.9819,72.3,96,100,1.9,CN,1689980152
330,loreto,22.2667,-101.9667,85.19,21,18,15.28,MX,1689980152
331,contai,21.7786,87.7536,81.72,90,100,8.39,IN,1689980152
332,bako,5.7833,36.5667,63.32,84,94,4.32,ET,1689980153
333,port elizabeth,-33.918,25.5701,57.49,62,0,4.61,ZA,1689980153
334,basco,20.4487,121.9702,84.18,77,18,12.37,PH,1689980153
335,taulaga,-11.0553,-171.0883,82.83,77,72,7.78,AS,1689980153
336,tokombere,11.2271,13.4858,76.05,83,84,3.47,NG,1689980153
337,nizhniy kuranakh,58.8353,125.4869,60.96,89,95,4.14,RU,1689980153
